tiempo, long_patt, OS
0.000190019607543945,12,1
0.00020289421081543,12,1
0.000204324722290039,27,1
0.000201940536499023,9,1
0.000182867050170898,15,1
0.000265121459960938,5,1
0.000208854675292969,10,1
0.000177860260009766,17,1
0.000197887420654297,12,1
0.000186920166015625,13,1
0.000197887420654297,15,1
0.000141143798828125,27,1
0.0001220703125,27,1
0.000116109848022461,22,1
0.000137805938720703,13,1
0.000153064727783203,18,1
0.000157833099365234,12,1
0.000334262847900391,3,1
0.000154256820678711,20,1
0.000152111053466797,14,1
0.000142097473144531,23,1
0.000150203704833984,12,1
0.000158786773681641,11,1
0.000165700912475586,13,1
0.000161886215209961,17,1
0.00020599365234375,6,1
0.000144004821777344,17,1
0.00113391876220703,1,1
0.000188112258911133,8,1
0.000252962112426758,4,1
0.00026702880859375,5,1
0.000138044357299805,29,1
0.000196218490600586,11,1
0.00020289421081543,9,1
0.000160932540893555,22,1
0.000182151794433594,9,1
0.000171899795532227,26,1
0.000147819519042969,15,1
0.000175952911376953,9,1
0.000164031982421875,12,1
0.000169754028320312,25,1
0.000124931335449219,25,1
0.00115299224853516,1,1
0.00018620491027832,13,1
0.000199079513549805,10,1
0.0001220703125,27,1
0.000123023986816406,24,1
0.000181198120117188,24,1
0.000121116638183594,21,1
0.000127077102661133,17,1
0.000344038009643555,3,1
0.000193119049072266,10,1
0.000135898590087891,23,1
0.000236988067626953,2,1
0.000113964080810547,19,1
0.000185966491699219,30,1
0.000214099884033203,9,1
0.000199794769287109,12,1
0.000168085098266602,27,1
0.000128030776977539,20,1
0.000143051147460938,12,1
0.000138998031616211,18,1
0.00017094612121582,29,1
0.000142097473144531,14,1
0.000335931777954102,3,1
0.000133037567138672,15,1
0.000124692916870117,18,1
0.000123023986816406,21,1
0.000171184539794922,7,1
0.00017094612121582,8,1
0.000176191329956055,21,1
0.000181913375854492,10,1
0.000171899795532227,20,1
0.000189304351806641,9,1
0.000151157379150391,11,1
0.000108718872070312,29,1
0.000123977661132812,20,1
0.000190973281860352,13,1
0.000180959701538086,26,1
0.000339031219482422,3,1
0.000159978866577148,22,1
0.000166177749633789,17,1
0.000226020812988281,5,1
0.000133037567138672,29,1
0.000135898590087891,16,1
0.000186920166015625,6,1
0.00023198127746582,2,1
0.000324249267578125,3,1
0.000110864639282227,29,1
0.000130891799926758,18,1
0.000156164169311523,13,1
0.000135898590087891,14,1
0.000126361846923828,18,1
0.00018000602722168,6,1
0.000116109848022461,20,1
0.000195026397705078,9,1
0.000159740447998047,26,1
0.000116825103759766,22,1
0.000132083892822266,12,1
0.00014185905456543,18,1
0.000145912170410156,14,1
0.000196695327758789,10,1
0.000184059143066406,10,1
0.000174045562744141,17,1
0.00018620491027832,8,1
0.000143051147460938,17,1
0.00014805793762207,19,1
0.000130176544189453,28,1
0.000123977661132812,23,1
0.000128984451293945,15,1
0.000197887420654297,7,1
0.00014495849609375,28,1
0.000142097473144531,13,1
0.000206947326660156,5,1
0.000130176544189453,14,1
0.000167131423950195,18,1
0.000148296356201172,25,1
0.000133037567138672,19,1
0.000128030776977539,17,1
0.000181198120117188,8,1
0.000231266021728516,6,1
0.000133991241455078,29,1
0.000159025192260742,14,1
0.000192165374755859,9,1
0.000150918960571289,24,1
0.00026392936706543,2,1
0.00014805793762207,10,1
0.000117063522338867,27,1
0.000164031982421875,29,1
0.000142097473144531,12,1
0.000119924545288086,21,1
0.000146150588989258,20,1
0.000119924545288086,24,1
0.00116181373596191,1,1
0.000177145004272461,15,1
0.000338077545166016,2,1
0.000152111053466797,24,1
0.000166177749633789,26,1
0.000112056732177734,28,1
0.000212192535400391,8,1
0.000205039978027344,5,1
0.000113010406494141,20,1
0.000246047973632812,19,1
0.000124216079711914,23,1
0.000120162963867188,22,1
0.00018000602722168,8,1
0.000117063522338867,17,1
0.000119924545288086,21,1
0.000120878219604492,15,1
0.000171899795532227,7,1
0.00010991096496582,22,1
0.00011897087097168,19,1
0.000236749649047852,2,1
0.000117063522338867,24,1
0.000128030776977539,18,1
0.000134944915771484,14,1
0.000110864639282227,23,1
0.000123023986816406,17,1
0.000113964080810547,23,1
