tiempo, long_patt, OS,lng
0.000306844711303711,5,1,4
0.000203847885131836,18,1,4
0.000198841094970703,16,1,4
0.000298023223876953,5,1,4
0.000232934951782227,10,1,4
0.000248908996582031,8,1,4
0.000225067138671875,10,1,4
0.00019383430480957,27,1,4
0.000303983688354492,5,1,4
0.000211000442504883,12,1,4
0.000252008438110352,9,1,4
0.000193119049072266,24,1,4
0.000303030014038086,5,1,4
0.000202178955078125,17,1,4
0.000184059143066406,27,1,4
0.000364065170288086,3,1,4
0.000248908996582031,7,1,4
0.000216960906982422,29,1,4
0.000190973281860352,25,1,4
0.000195980072021484,22,1,4
0.000203132629394531,22,1,4
0.000200033187866211,22,1,4
0.000204086303710938,19,1,4
0.000201940536499023,18,1,4
0.000204086303710938,19,1,4
0.000237941741943359,8,1,4
0.000196933746337891,25,1,4
0.000221967697143555,12,1,4
0.000215768814086914,12,1,4
0.000191926956176758,27,1,4
0.000248193740844727,9,1,4
0.000205039978027344,15,1,4
0.000288963317871094,5,1,4
0.000233173370361328,10,1,4
0.000196218490600586,17,1,4
0.000214815139770508,12,1,4
0.000219106674194336,13,1,4
0.000234842300415039,15,1,4
0.000195980072021484,27,1,4
0.000227212905883789,27,1,4
0.000188112258911133,22,1,4
0.000226020812988281,13,1,4
0.000199794769287109,18,1,4
0.000221014022827148,12,1,4
0.000404119491577148,3,1,4
0.000198841094970703,20,1,4
0.000205039978027344,14,1,4
0.000200748443603516,23,1,4
0.000226974487304688,12,1,4
0.000218868255615234,11,1,4
0.000226020812988281,13,1,4
0.000210046768188477,17,1,4
0.000286102294921875,6,1,4
0.000211000442504883,17,1,4
0.00141716003417969,1,1,4
0.000241994857788086,8,1,4
0.000339984893798828,4,1,4
0.000300884246826172,5,1,4
0.000181198120117188,29,1,4
0.000278949737548828,11,1,4
0.000247001647949219,9,1,4
0.000188112258911133,22,1,4
0.000247001647949219,9,1,4
0.000199794769287109,26,1,4
0.000212907791137695,15,1,4
0.000242948532104492,9,1,4
0.000303983688354492,12,1,4
0.000216007232666016,25,1,4
0.00026392936706543,25,1,4
0.0013577938079834,1,1,4
0.000215053558349609,13,1,4
0.00023198127746582,10,1,4
0.00018000602722168,27,1,4
0.000187158584594727,24,1,4
0.000205039978027344,24,1,4
0.000200271606445312,21,1,4
0.000206947326660156,17,1,4
0.000429868698120117,3,1,4
0.000227928161621094,10,1,4
0.00020289421081543,23,1,4
0.000336885452270508,2,1,4
0.000199794769287109,19,1,4
0.000197887420654297,30,1,4
0.000253915786743164,9,1,4
0.000222921371459961,12,1,4
0.000196218490600586,27,1,4
0.000197172164916992,20,1,4
0.00021815299987793,12,1,4
0.00021815299987793,18,1,4
