tiempo, long_patt, OS,lng
0.000137805938720703,12,1,4
0.000153064727783203,9,1,4
0.000113248825073242,24,1,4
0.000204801559448242,5,1,4
0.000123977661132812,17,1,4
0.000116109848022461,27,1,4
0.00027775764465332,3,1,4
0.000169038772583008,7,1,4
0.000110864639282227,29,1,4
0.000114917755126953,25,1,4
0.000109195709228516,22,1,4
0.000111103057861328,22,1,4
0.00010991096496582,22,1,4
0.000124931335449219,19,1,4
0.000118017196655273,18,1,4
0.000118017196655273,19,1,4
0.000211000442504883,8,1,4
0.000118017196655273,25,1,4
0.00013422966003418,12,1,4
0.000135183334350586,12,1,4
0.000123023986816406,27,1,4
0.000155925750732422,9,1,4
0.000129938125610352,15,1,4
0.000208139419555664,5,1,4
0.000154018402099609,10,1,4
0.000152111053466797,17,1,4
0.000159740447998047,12,1,4
0.000173091888427734,13,1,4
0.000147104263305664,15,1,4
0.000140190124511719,27,1,4
0.000155210494995117,27,1,4
0.000123977661132812,22,1,4
0.000134944915771484,13,1,4
0.000128984451293945,18,1,4
0.000139951705932617,12,1,4
0.000287055969238281,3,1,4
0.000120162963867188,20,1,4
0.000135183334350586,14,1,4
0.000140905380249023,23,1,4
0.000142097473144531,12,1,4
0.000139951705932617,11,1,4
0.000137805938720703,13,1,4
0.000176191329956055,17,1,4
0.000223875045776367,6,1,4
0.000153064727783203,17,1,4
0.0011448860168457,1,1,4
0.00133299827575684,8,1,4
0.000276088714599609,4,1,4
0.000226259231567383,5,1,4
0.000214338302612305,29,1,4
0.00018000602722168,11,1,4
0.00016474723815918,9,1,4
0.000125885009765625,22,1,4
0.000154972076416016,9,1,4
0.000131845474243164,26,1,4
0.000142097473144531,15,1,4
0.000176906585693359,9,1,4
0.000165939331054688,12,1,4
0.000166893005371094,25,1,4
0.000176191329956055,25,1,4
0.0011599063873291,1,1,4
0.000199079513549805,13,1,4
0.000214815139770508,10,1,4
0.000179052352905273,27,1,4
0.000274896621704102,24,1,4
0.00021815299987793,24,1,4
0.000178813934326172,21,1,4
0.00018620491027832,17,1,4
0.000407934188842773,3,1,4
0.000206947326660156,10,1,4
0.000171899795532227,23,1,4
0.000300884246826172,2,1,4
0.000176906585693359,19,1,4
0.000182867050170898,30,1,4
0.000206947326660156,9,1,4
0.000219106674194336,12,1,4
0.000162363052368164,27,1,4
0.00019383430480957,20,1,4
0.000217914581298828,12,1,4
0.00018310546875,18,1,4
0.000165939331054688,29,1,4
0.000236034393310547,14,1,4
0.000353813171386719,3,1,4
0.000152111053466797,15,1,4
0.000148773193359375,18,1,4
0.000146150588989258,21,1,4
0.000195980072021484,7,1,4
0.000189065933227539,8,1,4
0.000153064727783203,21,1,4
0.000183820724487305,10,1,4
0.000152826309204102,20,1,4
0.000177145004272461,9,1,4
0.000166893005371094,11,1,4
0.000168085098266602,29,1,4
0.000144004821777344,20,1,4
0.000139713287353516,13,1,4
0.000108003616333008,26,1,4
0.000283002853393555,3,1,4
0.000119924545288086,22,1,4
0.000120162963867188,17,1,4
0.000268936157226562,5,1,4
0.000175952911376953,29,1,4
0.000198841094970703,16,1,4
0.000249862670898438,6,1,4
0.000300168991088867,2,1,4
0.000335931777954102,3,1,4
0.000188827514648438,29,1,4
0.00020289421081543,18,1,4
0.000196933746337891,13,1,4
0.000201940536499023,14,1,4
0.000250101089477539,18,1,4
0.000241994857788086,6,1,4
0.000190258026123047,20,1,4
0.000212907791137695,9,1,4
0.000178813934326172,26,1,4
0.00014185905456543,22,1,4
0.000143051147460938,12,1,4
0.00013422966003418,18,1,4
0.000156164169311523,14,1,4
0.000195980072021484,10,1,4
0.00018310546875,10,1,4
0.000163078308105469,17,1,4
0.000197887420654297,8,1,4
0.000164985656738281,17,1,4
0.00015568733215332,19,1,4
0.000136137008666992,28,1,4
0.000138998031616211,23,1,4
0.000161886215209961,15,1,4
0.000196933746337891,7,1,4
0.000146150588989258,28,1,4
0.000154018402099609,13,1,4
0.000236034393310547,5,1,4
0.00016474723815918,14,1,4
0.000203847885131836,18,1,4
0.000132083892822266,25,1,4
0.000122785568237305,19,1,4
0.000137090682983398,17,1,4
0.000158071517944336,8,1,4
0.000190019607543945,6,1,4
0.000111103057861328,29,1,4
0.000133037567138672,14,1,4
0.00015711784362793,9,1,4
0.00014185905456543,24,1,4
0.000301837921142578,2,1,4
0.000189065933227539,10,1,4
0.000174045562744141,27,1,4
0.000169038772583008,29,1,4
0.00018310546875,12,1,4
0.000181913375854492,21,1,4
0.000182151794433594,20,1,4
0.000177145004272461,24,1,4
0.00114178657531738,1,1,4
0.000228166580200195,15,1,4
0.000330924987792969,2,1,4
0.000120162963867188,24,1,4
0.000121116638183594,26,1,4
0.000169992446899414,28,1,4
0.000181913375854492,8,1,4
0.000330924987792969,5,1,4
0.000163793563842773,20,1,4
0.000277996063232422,19,1,4
