tiempo, long_patt, OS
0.000267982482910156,5,1
0.000191926956176758,17,1
0.000175952911376953,27,1
0.000590085983276367,3,1
0.000230789184570312,7,1
0.000162124633789062,29,1
0.000131130218505859,25,1
0.000115156173706055,22,1
0.000172138214111328,22,1
0.000164985656738281,22,1
0.000174999237060547,19,1
0.000121116638183594,18,1
0.000169038772583008,19,1
0.000220060348510742,8,1
0.000143766403198242,25,1
0.000193119049072266,12,1
0.000190019607543945,12,1
0.0001220703125,27,1
0.000222921371459961,9,1
0.000185012817382812,15,1
0.00020599365234375,5,1
0.000210046768188477,10,1
0.00018000602722168,17,1
0.0002899169921875,12,1
0.000190019607543945,13,1
0.000180244445800781,15,1
0.00017094612121582,27,1
0.00023198127746582,27,1
0.000176906585693359,22,1
0.000185966491699219,13,1
0.000184059143066406,18,1
0.000237226486206055,12,1
0.000338077545166016,3,1
0.000251054763793945,20,1
0.000194072723388672,14,1
0.000173807144165039,23,1
0.000139951705932617,12,1
0.00014805793762207,11,1
0.000143051147460938,13,1
0.000126123428344727,17,1
0.000182151794433594,6,1
0.000128030776977539,17,1
0.00117897987365723,1,1
0.000167131423950195,8,1
0.000247001647949219,4,1
0.000206947326660156,5,1
0.000111818313598633,29,1
0.000188112258911133,11,1
0.000158071517944336,9,1
0.000154018402099609,22,1
0.000188827514648438,9,1
0.000123023986816406,26,1
0.000150680541992188,15,1
0.000166177749633789,9,1
0.000152111053466797,12,1
0.000168085098266602,25,1
0.000144243240356445,25,1
0.00114297866821289,1,1
0.000189304351806641,13,1
0.000199079513549805,10,1
0.000137090682983398,27,1
0.000144004821777344,24,1
0.000140905380249023,24,1
0.000179052352905273,21,1
0.000175952911376953,17,1
0.000349998474121094,3,1
0.000204086303710938,10,1
0.000162124633789062,23,1
0.00024724006652832,2,1
0.000144004821777344,19,1
0.000134944915771484,30,1
0.000152826309204102,9,1
0.000146865844726562,12,1
0.000164985656738281,27,1
0.000154972076416016,20,1
0.00017094612121582,12,1
0.000149965286254883,18,1
0.000177860260009766,29,1
0.000187158584594727,14,1
0.000356912612915039,3,1
0.000185251235961914,15,1
0.000172138214111328,18,1
0.000191926956176758,21,1
0.000260114669799805,7,1
0.000212192535400391,8,1
0.000123023986816406,21,1
0.000143051147460938,10,1
0.000130176544189453,20,1
0.000161886215209961,9,1
0.000144004821777344,11,1
0.000145196914672852,29,1
0.000141143798828125,20,1
0.000192880630493164,13,1
0.000169038772583008,26,1
0.000349044799804688,3,1
0.000174760818481445,22,1
0.000172853469848633,17,1
0.000261068344116211,5,1
0.000235080718994141,29,1
0.000194072723388672,16,1
0.000235080718994141,6,1
0.000288963317871094,2,1
0.000342845916748047,3,1
0.000168800354003906,29,1
0.000195980072021484,18,1
0.000189065933227539,13,1
0.00018000602722168,14,1
0.00018310546875,18,1
0.000237226486206055,6,1
0.000210762023925781,20,1
0.000205039978027344,9,1
0.000162363052368164,26,1
0.000174045562744141,22,1
0.000185966491699219,12,1
0.000173091888427734,18,1
0.000182867050170898,14,1
0.00019073486328125,10,1
0.000168085098266602,10,1
0.000139713287353516,17,1
0.000176906585693359,8,1
0.000133752822875977,17,1
0.000137090682983398,19,1
0.000117778778076172,28,1
0.000191926956176758,23,1
0.000185966491699219,15,1
