tiempo, long, tipoB, OS,lng,tamTexto
0.0144138336182 , 10 , 2 , 6 , 5 , 10
0.0144650936127 , 20 , 2 , 6 , 5 , 10
0.0144500732422 , 9 , 2 , 6 , 5 , 10
0.0144650936127 , 18 , 2 , 6 , 5 , 10
0.0144531726837 , 12 , 2 , 6 , 5 , 10
0.0144441127777 , 4 , 2 , 6 , 5 , 10
0.0144379138947 , 16 , 2 , 6 , 5 , 10
0.0144391059875 , 13 , 2 , 6 , 5 , 10
0.0144681930542 , 21 , 2 , 6 , 5 , 10
0.0144448280334 , 7 , 2 , 6 , 5 , 10
0.014456987381 , 22 , 2 , 6 , 5 , 10
0.014447927475 , 9 , 2 , 6 , 5 , 10
0.0144460201263 , 28 , 2 , 6 , 5 , 10
0.0155780315399 , 2 , 2 , 6 , 5 , 10
0.0144469738007 , 12 , 2 , 6 , 5 , 10
0.0144369602203 , 26 , 2 , 6 , 5 , 10
0.0144259929657 , 10 , 2 , 6 , 5 , 10
0.0144159793854 , 15 , 2 , 6 , 5 , 10
0.0144550800323 , 16 , 2 , 6 , 5 , 10
0.0144319534302 , 7 , 2 , 6 , 5 , 10
0.0144429206848 , 28 , 2 , 6 , 5 , 10
0.0144770145416 , 4 , 2 , 6 , 5 , 10
0.0144591331482 , 4 , 2 , 6 , 5 , 10
0.0144670009613 , 13 , 2 , 6 , 5 , 10
0.0144500732422 , 19 , 2 , 6 , 5 , 10
0.0144400596619 , 16 , 2 , 6 , 5 , 10
0.014429807663 , 28 , 2 , 6 , 5 , 10
0.0144708156586 , 25 , 2 , 6 , 5 , 10
0.0144309997559 , 26 , 2 , 6 , 5 , 10
0.0144629478455 , 11 , 2 , 6 , 5 , 10
0.0144500732422 , 30 , 2 , 6 , 5 , 10
0.0144469738007 , 23 , 2 , 6 , 5 , 10
0.0144460201263 , 25 , 2 , 6 , 5 , 10
0.0185439586639 , 9 , 2 , 6 , 5 , 10
0.0194959640503 , 4 , 2 , 6 , 5 , 10
0.0262370109558 , 1 , 2 , 6 , 5 , 10
0.014447927475 , 19 , 2 , 6 , 5 , 10
0.014456987381 , 12 , 2 , 6 , 5 , 10
0.0145659446716 , 11 , 2 , 6 , 5 , 10
0.0210149288177 , 27 , 2 , 6 , 5 , 10
0.0145061016083 , 17 , 2 , 6 , 5 , 10
0.0144529342651 , 24 , 2 , 6 , 5 , 10
0.0141711235046 , 7 , 2 , 6 , 5 , 10
0.0144381523132 , 26 , 2 , 6 , 5 , 10
0.0144679546356 , 5 , 2 , 6 , 5 , 10
0.0144579410553 , 16 , 2 , 6 , 5 , 10
0.0144648551941 , 6 , 2 , 6 , 5 , 10
0.0144441127777 , 29 , 2 , 6 , 5 , 10
0.0144429206848 , 10 , 2 , 6 , 5 , 10
0.0144410133362 , 25 , 2 , 6 , 5 , 10
0.0144212245941 , 17 , 2 , 6 , 5 , 10
0.0144379138947 , 13 , 2 , 6 , 5 , 10
0.0144629478455 , 4 , 2 , 6 , 5 , 10
0.0145120620728 , 4 , 2 , 6 , 5 , 10
0.0144670009613 , 19 , 2 , 6 , 5 , 10
0.014429807663 , 29 , 2 , 6 , 5 , 10
