tiempo, long_patt
, OS0.000303030014038086,51
0.000194787979125977,51
0.000107049942016602,291
0.000137090682983398,111
0.000166893005371094,91
0.000134944915771484,221
0.000172138214111328,91
0.000135183334350586,261
0.00014185905456543,151
0.00018000602722168,91
0.000162124633789062,121
0.000140190124511719,251
0.000146865844726562,251
0.00119495391845703,11
0.000191926956176758,131
0.000204086303710938,101
0.000171899795532227,271
0.000157356262207031,241
0.000174999237060547,241
0.000161886215209961,211
0.000124931335449219,171
0.000291109085083008,31
0.000149965286254883,101
0.000130176544189453,231
0.000230073928833008,21
0.000121831893920898,191
0.000113010406494141,301
0.000213861465454102,91
0.000194072723388672,121
0.000162124633789062,271
0.000239133834838867,201
0.000189781188964844,121
0.000136137008666992,181
0.000163078308105469,291
0.000187873840332031,141
0.000280141830444336,31
0.000144004821777344,151
0.0001220703125,181
0.000133991241455078,211
0.000177860260009766,71
0.000155925750732422,81
0.000159025192260742,211
0.000153779983520508,101
0.000118255615234375,201
0.000164031982421875,91
0.000149011611938477,111
0.00012516975402832,291
0.000123977661132812,201
0.000134706497192383,131
0.000147819519042969,261
0.000288724899291992,31
0.000159740447998047,221
0.000121116638183594,171
0.000196933746337891,51
0.000128030776977539,291
0.000146150588989258,161
0.000190019607543945,61
0.000226974487304688,21
0.000281095504760742,31
0.000164031982421875,291
0.000173807144165039,181
0.000132083892822266,131
0.000162839889526367,141
0.000136852264404297,181
0.000197887420654297,61
0.000137090682983398,201
0.000196218490600586,91
0.000142097473144531,261
0.000136852264404297,221
0.000182867050170898,121
0.000154018402099609,181
0.000164985656738281,141
0.000158071517944336,101
0.000145912170410156,101
0.000175237655639648,171
0.000160932540893555,81
0.000116825103759766,171
0.000113010406494141,191
0.0001220703125,281
0.000116109848022461,231
0.000127792358398438,151
0.000168800354003906,71
0.000111103057861328,281
0.000130176544189453,131
0.000195980072021484,51
0.000144004821777344,141
0.000133037567138672,181
0.000135898590087891,251
0.000165939331054688,191
0.00012516975402832,171
0.000185966491699219,81
0.000207185745239258,61
0.000121831893920898,291
0.00016474723815918,141
0.000169277191162109,91
0.000135898590087891,241
0.000252008438110352,21
0.000163078308105469,101
0.000165224075317383,271
0.000159263610839844,291
0.000154972076416016,121
0.000143051147460938,211
0.000132083892822266,201
0.000118732452392578,241
0.00108504295349121,11
0.0001220703125,151
0.000232934951782227,21
0.000112771987915039,241
0.000132083892822266,261
0.000123977661132812,281
0.000151157379150391,81
0.000218629837036133,51
0.00012516975402832,201
0.000163793563842773,191
0.000317096710205078,231
0.000171184539794922,221
0.000164031982421875,81
0.000114917755126953,171
0.000129222869873047,211
0.000128984451293945,151
0.000169038772583008,71
0.0001220703125,221
0.000116109848022461,191
0.000226020812988281,21
0.000110149383544922,241
0.000134944915771484,181
0.000134944915771484,141
0.000113964080810547,231
0.000121116638183594,171
0.000124931335449219,231
0.000110864639282227,241
0.000142097473144531,111
0.000284910202026367,31
0.000128030776977539,131
0.000192880630493164,51
0.0001220703125,271
0.0001220703125,141
0.000130176544189453,151
0.000173091888427734,161
0.0001678466796875,101
0.000173807144165039,141
0.000205039978027344,151
0.000166177749633789,261
0.000122785568237305,291
0.000133037567138672,141
0.000116109848022461,191
0.000135898590087891,171
0.000200748443603516,121
0.000165939331054688,251
0.00014805793762207,141
0.000190019607543945,221
0.000212192535400391,61
0.000169038772583008,281
0.000181913375854492,301
0.000175237655639648,151
0.000194072723388672,111
0.000239133834838867,131
0.000198125839233398,91
0.000347137451171875,41
0.000204086303710938,91
0.000209808349609375,91
0.000166893005371094,171
0.000196695327758789,101
0.000249862670898438,21
0.000205755233764648,111
0.000169992446899414,241
0.000166893005371094,291
0.000133037567138672,241
0.000167131423950195,231
0.000262260437011719,61
0.000179290771484375,271
0.000175952911376953,281
0.000174999237060547,281
0.000173091888427734,151
0.000157833099365234,271
0.000199317932128906,111
0.000172138214111328,181
0.000196933746337891,101
0.000168800354003906,221
0.000160932540893555,221
0.000208854675292969,81
0.000188112258911133,141
0.000231027603149414,71
0.000341892242431641,31
0.000176191329956055,181
0.000128030776977539,281
0.000128030776977539,181
0.000207901000976562,181
0.000174999237060547,271
